name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J1308-0236,197.226282,-2.603611,Median-score candidate,2,1.5584,"CONTAMINANT: J1308-0236, Pindor, Bart et al. (2006)",2,0.9962,
J1234+0224,188.73532,2.407038,Lower-score candidates,2,1.4119,,1.67,0.9996,
J2307-3039,346.828888,-30.654312,Median-score candidate,2,1.58,"CONFIRMED: J2307-3039, Spiniello, C. et al. (2018), J2307-3039, Spiniello, C. et al. (2019)",2,1,Lensed Galaxy
J1409-0246,212.484672,-2.7678,Median-score candidate,2,1.6021,,2,1,
J1244+0106,191.21402,1.111979,High-score candidate,4,2.1903,"CONFIRMED: J124451.35+010643.0, Wong, Kenneth C. et al. (2018), J124451.35+010643.0, Petrillo, C. E. et al. (2019), J124451.35+010643.0, Cañameras, R. et al. (2021), J124451.35+010643.0, Talbot, Michael S. et al. (2021)",3,0.9667,Lensed Galaxy
J1245-0250,191.367137,-2.842317,Lower-score candidates,2,1.4901,,1.67,0.9978,
J1247-0004,191.775658,-0.075615,Median-score candidate,2,1.271,,2,0.9879,
J1248+0102,192.056822,1.046586,Lower-score candidates,2,1.6747,,1.67,0.9999,
J1248+0111,192.167846,1.187993,High-score candidate,2,1.7358,,2.33,0.9552,
J1249-0105,192.291017,-1.098534,Lower-score candidates,2,1.6131,,1.67,0.976,
J1136+0338,174.055368,3.644687,Lower-score candidates,2,1.603,"CONTAMINANT: J113613.37+033840.9, Pindor, Bart et al. (2006), J113613.37+033840.9, Inada, Naohisa et al. (2008)",1.67,1,
J1251-0344,192.980666,-3.746687,Median-score candidate,2,1.3591,,2,1,
J1251-0347,192.769197,-3.785873,Median-score candidate,2,1.5221,,2,1,
J1252+0200,193.107277,2.000253,Median-score candidate,2,1.9888,,2,1,
J1256-0353,194.138584,-3.891131,Lower-score candidates,2,2.288,,1.67,0.9973,
J1301-0305,195.42765,-3.087959,Lower-score candidates,2,1.2489,,1.67,1,
J1306-0213,196.596831,-2.219184,Median-score candidate,2,2.1802,"CANDIDATE: J130623-021307, He, Zizhao et al. (2023)",2,0.9792,
J1441-0118,220.314302,-1.30937,Lower-score candidates,2,1.6105,,1.67,0.9995,
J1315+0335,198.797937,3.592657,Lower-score candidates,2,1.531,,1.67,0.9938,
J1316+0208,199.048882,2.147036,Median-score candidate,2,1.7747,,2,0.9998,
J1317+0244,199.439493,2.735203,Median-score candidate,2,0.8944,,2,0.9999,
