name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J1044-0228,161.088709,-2.473542,-1.171,-2.107,0.331,0.263,5.701841302,0.3783,0.2805,1.348663102,20.99067,20.359997,19.838156,19.598219,0.24,,
J1044-0228,161.088995,-2.47331,-1.171,-2.107,0.331,0.263,5.701841302,0.3783,0.2805,1.348663102,20.120779,19.28771,18.919971,18.781454,0.14,,
J1046-0153,161.670317,-1.886044,-7.108,1.828,0.606,0.458,9.661986476,-2.6643,0.59,4.515762712,20.890068,19.496746,18.987839,18.663343,0.06,,
J1046-0153,161.669879,-1.886204,-7.108,1.828,0.606,0.458,9.661986476,-2.6643,0.59,4.515762712,18.861898,17.818579,17.534485,17.289768,0.04,,
J1046-0253,161.639406,-2.889607,-9.452,-7.504,0.604,0.613,14.02388255,1.4773,0.5046,2.927665478,22.50508,20.442177,19.286308,18.847857,0.2,,
J1046-0253,161.639573,-2.88986,-9.452,-7.504,0.604,0.613,14.02388255,1.4773,0.5046,2.927665478,22.657501,20.45619,19.297413,18.862312,0.15,,
J1047-0329,161.8987,-3.495514,-1.063,-0.788,1.218,0.999,0.839987757,0.5084,1.1387,0.446474049,22.352499,21.803173,21.140749,20.72145,0.68,,
J1047-0329,161.898063,-3.495365,-1.063,-0.788,1.218,0.999,0.839987757,0.5084,1.1387,0.446474049,21.517385,20.61615,20.339954,20.212755,0.04,,
J1048-0119,162.091163,-1.317856,,,,,,,,,20.983555,20.42733,20.589724,20.268236,0.1,,
J1048-0119,162.090839,-1.318156,,,,,,,,,20.513178,19.624193,19.386156,19.271984,0.03,,
J1053-0256,163.428109,-2.935063,-1.045,0.944,1.714,1.307,0.65333704,-0.5422,1.776,0.305292793,20.873741,20.350733,20.015915,19.875416,0.26,,
J1053-0256,163.427914,-2.935564,-1.045,0.944,1.714,1.307,0.65333704,-0.5422,1.776,0.305292793,21.165354,20.337555,20.068518,19.944216,0.2,,
J1056+0358,164.133368,3.980635,,,,,,,,,21.78936,20.307863,19.135643,18.62101,0.32,,
J1056+0358,164.133766,3.980099,,,,,,,,,20.854847,19.001589,18.082169,17.72296,0.01,,
J1056-0033,164.248888,-0.554551,,,,,,,,,22.23429,21.647135,20.942806,20.674253,0.66,,
J1056-0033,164.249228,-0.554182,,,,,,,,,21.175234,20.856594,20.40681,20.258114,0.73,,
J1059+0129,164.959421,1.485695,,,,,,,,,20.36645,19.143686,18.566956,18.287088,0.11,,
J1059+0129,164.959643,1.485328,,,,,,,,,19.280355,18.21715,17.762133,17.530445,0.02,,
